,date_time,course,how did you hear about county college of morris? [ccm web site],ccm_social_media,ccm_community_event,ccm_family_friend,ccm_current_student,ccm_alumni,ccm_hs_teacher,ccm_hs_counselor,ccm_in-app_ad,ccm_employer,ccm_billboard,ccm_television,ccm_radio,ccm_home_mailer,ccm_other,decision_affordable_cost,decision_location,decision_programs,decision_online_offers,decision_family_friend_referral,decision_faculty_staff,decision_reputation,decision_financial_aid,decision_scholarships,decision_class_size,decision_ex_curricular_ops,decision_credit_transfer,decision_other_college,decision_nj_stars,decision_credit_transfer,decision_hs_credits,degree_prog,more_cc_web,more_cc_cyber,more_cc_app_devel,more_cc_data_anal,more_ai,more_cc_program,more_cc_game_design,more_cc_hardware,gender,race_ethnicity,age
14,2022/10/02 11:03:58 PM EST,CMP 101 Computer Information Literacy,Don't recall,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Liberal Arts,Yes,No,Yes,No,No,No,No,No,Woman,White/Caucasian,19-20
15,2022/10/02 11:57:33 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Psychology ,No,No,No,No,No,Yes,Yes,Yes,Man,Hispanic or Latino,25-34
16,2022/10/03 11:58:21 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Liberal Arts,No,No,No,Yes,No,No,No,No,Woman,Multi-Racial,19-20
17,2022/10/03 12:33:33 PM EST,CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,Yes,No,Don't recall,Don't recall,No,No,Yes,No,Yes,Yes,Don't recall,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,No,Yes,No,Yes,No,No,No,Yes,Woman,White/Caucasian,35-64
18,2022/10/03 1:46:10 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Criminal Justice,No,No,No,No,No,No,No,No,Man,White/Caucasian,21-24
19,2022/10/03 2:25:40 PM EST,CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Woman,White/Caucasian,25-34
20,2022/10/03 2:48:47 PM EST,CMP 101 Computer Information Literacy,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,,Some Impact,No Impact,No Impact,Some Impact,,,,,,,Nursing,No,No,No,No,No,No,No,No,Woman,White/Caucasian,21-24
21,2022/10/03 3:24:03 PM EST,CMP 101 Computer Information Literacy,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,Nursing,No,Yes,No,Yes,Yes,Yes,No,Yes,Man,Multi-Racial,21-24
22,2022/10/03 7:49:22 PM EST,CMP 135 Computer Concepts with Applications,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,Some Impact,,,,,High Impact,,High Impact,High Impact,,,,,,Exercise Science,No,Yes,No,No,No,No,No,No,Woman,Hispanic or Latino,19-20
23,2022/10/04 3:34:48 AM EST,CMP 101 Computer Information Literacy,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Liberal Arts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prefer not to say,Choose not to reply,25-34
24,2022/10/04 8:23:27 AM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Don't recall,No,Yes,Yes,No,Yes,No,No,No,No,No,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Liberal Arts,No,Yes,No,Yes,No,No,No,No,Woman,Hispanic or Latino,19-20
25,2022/10/04 9:24:05 AM EST,CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Some Impact,High Impact,High Impact,Some Impact,,,,,,No Impact,No Impact,No Impact,No Impact,,,,Computer Information Systems,No,No,No,No,No,Yes,No,Yes,Man,Black/African American,35-64
26,2022/10/04 9:49:02 AM EST,CMP 101 Computer Information Literacy,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Liberal Arts,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
27,2022/10/04 9:54:55 AM EST,CMP 126 Computer Technology and Applications,Don't recall,Yes,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,,,Some Impact,High Impact,,,,High Impact,High Impact,Some Impact,High Impact,,High Impact,,Early Childhood Education,No,No,No,No,No,No,No,No,Woman,White/Caucasian,25-34
28,2022/10/04 9:55:42 AM EST,CMP 126 Computer Technology and Applications,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,,,,High Impact,,Criminal Justice,Yes,Yes,Yes,No,No,No,No,No,Man,White/Caucasian,18 and younger
29,2022/10/04 9:55:49 AM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Liberal Arts,No,No,No,No,No,No,Yes,No,Prefer not to say,Multi-Racial,19-20
30,2022/10/04 9:56:11 AM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Nursing,No,No,No,No,No,No,No,No,Woman,Multi-Racial,19-20
31,2022/10/04 9:56:32 AM EST,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Criminal Justice,No,Yes,No,No,No,No,No,No,Woman,White/Caucasian,18 and younger
32,2022/10/04 9:57:15 AM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,,,Some Impact,,,,,,High Impact,,,,High Impact,,Broadcasting Arts and Technology,No,Yes,Yes,No,Yes,Yes,Yes,No,Man,Choose not to reply,19-20
33,2022/10/04 9:58:05 AM EST,CMP 126 Computer Technology and Applications,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Liberal Arts,No,Yes,No,No,No,No,No,No,Woman,Hispanic or Latino,18 and younger
34,2022/10/04 9:58:06 AM EST,CMP 126 Computer Technology and Applications,No,Don't recall,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Don't recall,Don't recall,No,Don't recall,Yes,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Communication,No,Yes,No,No,No,No,Yes,No,Man,White/Caucasian,21-24
35,2022/10/04 10:00:43 AM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Liberal Arts,No,No,No,No,No,No,No,No,Man,Black/African American,18 and younger
36,2022/10/04 10:01:12 AM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,Liberal Arts,Yes,No,No,No,No,No,No,Yes,Man,Choose not to reply,19-20
37,2022/10/04 10:03:37 AM EST,CMP 126 Computer Technology and Applications,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,No,Don't recall,No,No,Yes,Yes,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Communication,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
38,2022/10/04 10:10:56 AM EST,CMP 126 Computer Technology and Applications,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Don't recall,No,Don't recall,Don't recall,Yes,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Journalism,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Man,White/Caucasian,18 and younger
39,2022/10/04 1:56:37 PM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Communication,No,Yes,Yes,No,No,No,No,No,Woman,White/Caucasian,18 and younger
40,2022/10/04 3:19:10 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Nursing,No,No,No,No,No,No,No,No,Woman,White/Caucasian,18 and younger
41,2022/10/04 3:37:52 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,,High Impact,High Impact,High Impact,High Impact,Some Impact,,,High Impact,,,High Impact,,Nursing,No,Yes,No,No,No,No,No,No,Woman,White/Caucasian,19-20
